Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_141,VGND,li1,71.7600,76.1600,0.000247
FILLER_24_137,VGND,li1,69.2300,76.1600,0.000247
FILLER_24_125,VGND,li1,65.7800,76.1600,0.000242
FILLER_24_109,VGND,li1,56.3500,76.1600,0.000223
FILLER_24_89,VGND,li1,46.6900,76.1600,0.000201
FILLER_24_85,VGND,li1,45.5400,76.1600,0.000201
FILLER_24_77,VGND,li1,41.6300,76.1600,0.000190
FILLER_24_71,VGND,li1,38.6400,76.1600,0.000182
FILLER_24_57,VGND,li1,32.2000,76.1600,0.000149
FILLER_24_42,VGND,li1,25.3000,76.1600,0.000101
FILLER_24_37,VGND,li1,22.7700,76.1600,0.000106
FILLER_24_29,VGND,li1,20.7000,76.1600,0.000107
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000108
FILLER_24_15,VGND,li1,15.1800,76.1600,0.000108
FILLER_24_3,VGND,li1,9.6600,76.1600,0.000108
FILLER_23_146,VGND,li1,72.9100,76.1600,0.000247
FILLER_23_140,VGND,li1,71.3000,76.1600,0.000247
FILLER_23_121,VGND,li1,63.9400,76.1600,0.000238
FILLER_23_109,VGND,li1,56.3500,76.1600,0.000223
FILLER_23_92,VGND,li1,48.0700,76.1600,0.000206
FILLER_23_86,VGND,li1,46.4600,76.1600,0.000201
FILLER_23_77,VGND,li1,41.1700,76.1600,0.000190
FILLER_23_66,VGND,li1,36.3400,76.1600,0.000172
FILLER_23_50,VGND,li1,29.9000,76.1600,0.000135
FILLER_23_44,VGND,li1,25.9900,76.1600,0.000101
FILLER_23_29,VGND,li1,19.0900,76.1600,0.000107
FILLER_23_21,VGND,li1,15.4100,76.1600,0.000108
FILLER_23_15,VGND,li1,13.8000,76.1600,0.000108
FILLER_23_3,VGND,li1,9.6600,76.1600,0.000108
FILLER_22_141,VGND,li1,71.7600,70.7200,0.000330
FILLER_22_118,VGND,li1,60.0300,70.7200,0.000306
FILLER_22_114,VGND,li1,58.8800,70.7200,0.000306
FILLER_22_85,VGND,li1,45.3100,70.7200,0.000247
FILLER_22_43,VGND,li1,25.5300,70.7200,0.000120
FILLER_22_29,VGND,li1,19.5500,70.7200,0.000136
FILLER_22_7,VGND,li1,8.9700,70.7200,0.000146
FILLER_22_3,VGND,li1,7.8200,70.7200,0.000146
FILLER_21_142,VGND,li1,71.0700,70.7200,0.000330
FILLER_21_113,VGND,li1,59.3400,70.7200,0.000306
FILLER_21_94,VGND,li1,49.2200,70.7200,0.000270
FILLER_21_35,VGND,li1,21.8500,70.7200,0.000130
FILLER_21_3,VGND,li1,7.5900,70.7200,0.000146
FILLER_20_141,VGND,li1,70.8400,65.2800,0.000284
FILLER_20_117,VGND,li1,59.8000,65.2800,0.000261
FILLER_20_105,VGND,li1,56.5800,65.2800,0.000254
FILLER_20_93,VGND,li1,51.0600,65.2800,0.000238
FILLER_20_83,VGND,li1,43.9300,65.2800,0.000217
FILLER_20_79,VGND,li1,42.7800,65.2800,0.000205
FILLER_20_57,VGND,li1,32.2000,65.2800,0.000158
FILLER_20_23,VGND,li1,16.5600,65.2800,0.000135
FILLER_19_146,VGND,li1,72.9100,65.2800,0.000286
FILLER_19_113,VGND,li1,58.8800,65.2800,0.000261
FILLER_19_109,VGND,li1,56.3500,65.2800,0.000254
FILLER_19_97,VGND,li1,52.9000,65.2800,0.000244
FILLER_19_76,VGND,li1,41.4000,65.2800,0.000205
FILLER_19_35,VGND,li1,22.0800,65.2800,0.000122
FILLER_19_7,VGND,li1,8.9700,65.2800,0.000151
FILLER_18_141,VGND,li1,70.8400,59.8400,0.000441
FILLER_18_82,VGND,li1,43.7000,59.8400,0.000347
FILLER_18_74,VGND,li1,41.4000,59.8400,0.000322
FILLER_18_62,VGND,li1,36.8000,59.8400,0.000295
FILLER_18_29,VGND,li1,19.5500,59.8400,0.000211
FILLER_18_23,VGND,li1,16.5600,59.8400,0.000227
FILLER_17_145,VGND,li1,72.6800,59.8400,0.000443
FILLER_17_119,VGND,li1,60.9500,59.8400,0.000425
FILLER_17_106,VGND,li1,55.6600,59.8400,0.000411
FILLER_17_81,VGND,li1,43.0100,59.8400,0.000347
FILLER_17_75,VGND,li1,41.4000,59.8400,0.000322
FILLER_17_63,VGND,li1,37.2600,59.8400,0.000295
FILLER_17_32,VGND,li1,21.1600,59.8400,0.000211
FILLER_17_7,VGND,li1,9.6600,59.8400,0.000236
FILLER_16_141,VGND,li1,70.8400,54.4000,0.000251
FILLER_16_139,VGND,li1,69.6900,54.4000,0.000251
FILLER_16_78,VGND,li1,42.7800,54.4000,0.000177
FILLER_16_66,VGND,li1,38.6400,54.4000,0.000161
FILLER_16_54,VGND,li1,33.1200,54.4000,0.000136
FILLER_16_29,VGND,li1,19.7800,54.4000,0.000102
FILLER_16_19,VGND,li1,14.4900,54.4000,0.000103
FILLER_16_15,VGND,li1,13.3400,54.4000,0.000103
FILLER_16_3,VGND,li1,9.6600,54.4000,0.000103
FILLER_15_139,VGND,li1,69.9200,54.4000,0.000251
FILLER_15_131,VGND,li1,67.6200,54.4000,0.000249
FILLER_15_108,VGND,li1,55.4300,54.4000,0.000219
FILLER_15_104,VGND,li1,54.2800,54.4000,0.000219
FILLER_15_97,VGND,li1,50.3700,54.4000,0.000201
FILLER_15_91,VGND,li1,48.7600,54.4000,0.000201
FILLER_15_52,VGND,li1,30.3600,54.4000,0.000122
FILLER_15_23,VGND,li1,16.3300,54.4000,0.000103
FILLER_15_15,VGND,li1,14.2600,54.4000,0.000103
FILLER_15_3,VGND,li1,9.6600,54.4000,0.000103
