Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_141,VPWR,li1,71.7600,78.8800,1.799848
FILLER_24_137,VPWR,li1,69.2300,78.8800,1.799848
FILLER_24_125,VPWR,li1,65.7800,78.8800,1.799848
FILLER_24_109,VPWR,li1,56.3500,78.8800,1.799848
FILLER_24_89,VPWR,li1,46.6900,78.8800,1.799849
FILLER_24_85,VPWR,li1,45.5400,78.8800,1.799849
FILLER_24_77,VPWR,li1,41.6300,78.8800,1.799852
FILLER_24_71,VPWR,li1,38.6400,78.8800,1.799858
FILLER_24_57,VPWR,li1,32.2000,78.8800,1.799875
FILLER_24_42,VPWR,li1,25.3000,78.8800,1.799905
FILLER_24_37,VPWR,li1,22.7700,78.8800,1.799919
FILLER_24_29,VPWR,li1,20.7000,78.8800,1.799933
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799933
FILLER_24_15,VPWR,li1,15.1800,78.8800,1.799933
FILLER_24_3,VPWR,li1,9.6600,78.8800,1.799933
FILLER_23_146,VPWR,li1,72.9100,73.4400,1.799701
FILLER_23_140,VPWR,li1,71.3000,73.4400,1.799701
FILLER_23_121,VPWR,li1,63.9400,73.4400,1.799709
FILLER_23_109,VPWR,li1,56.3500,73.4400,1.799733
FILLER_23_92,VPWR,li1,48.0700,73.4400,1.799762
FILLER_23_86,VPWR,li1,46.4600,73.4400,1.799773
FILLER_23_77,VPWR,li1,41.1700,73.4400,1.799791
FILLER_23_66,VPWR,li1,36.3400,73.4400,1.799815
FILLER_23_50,VPWR,li1,29.9000,73.4400,1.799853
FILLER_23_44,VPWR,li1,25.9900,73.4400,1.799883
FILLER_23_29,VPWR,li1,19.0900,73.4400,1.799916
FILLER_23_21,VPWR,li1,15.4100,73.4400,1.799916
FILLER_23_15,VPWR,li1,13.8000,73.4400,1.799916
FILLER_23_3,VPWR,li1,9.6600,73.4400,1.799916
FILLER_22_141,VPWR,li1,71.7600,73.4400,1.799701
FILLER_22_118,VPWR,li1,60.0300,73.4400,1.799725
FILLER_22_114,VPWR,li1,58.8800,73.4400,1.799725
FILLER_22_85,VPWR,li1,45.3100,73.4400,1.799773
FILLER_22_43,VPWR,li1,25.5300,73.4400,1.799883
FILLER_22_29,VPWR,li1,19.5500,73.4400,1.799916
FILLER_22_7,VPWR,li1,8.9700,73.4400,1.799916
FILLER_22_3,VPWR,li1,7.8200,73.4400,1.799916
FILLER_21_142,VPWR,li1,71.0700,68.0000,1.799665
FILLER_21_113,VPWR,li1,59.3400,68.0000,1.799688
FILLER_21_94,VPWR,li1,49.2200,68.0000,1.799722
FILLER_21_35,VPWR,li1,21.8500,68.0000,1.799890
FILLER_21_3,VPWR,li1,7.5900,68.0000,1.799869
FILLER_20_141,VPWR,li1,70.8400,68.0000,1.799665
FILLER_20_117,VPWR,li1,59.8000,68.0000,1.799688
FILLER_20_105,VPWR,li1,56.5800,68.0000,1.799697
FILLER_20_93,VPWR,li1,51.0600,68.0000,1.799716
FILLER_20_83,VPWR,li1,43.9300,68.0000,1.799748
FILLER_20_79,VPWR,li1,42.7800,68.0000,1.799748
FILLER_20_57,VPWR,li1,32.2000,68.0000,1.799807
FILLER_20_23,VPWR,li1,16.5600,68.0000,1.799878
FILLER_19_146,VPWR,li1,72.9100,62.5600,1.799540
FILLER_19_113,VPWR,li1,58.8800,62.5600,1.799565
FILLER_19_109,VPWR,li1,56.3500,62.5600,1.799575
FILLER_19_97,VPWR,li1,52.9000,62.5600,1.799583
FILLER_19_76,VPWR,li1,41.4000,62.5600,1.799651
FILLER_19_35,VPWR,li1,22.0800,62.5600,1.799846
FILLER_19_7,VPWR,li1,8.9700,62.5600,1.799816
